nodes,10,11,13,15,17,20,23,26,30,35,40,47,54,62,71,82,95,109,126,145,167,193,222,255,294,339,390,449,517,596,686,790,910,1048,1206,1389,1599,1842,2120,2442,2811,3237,3727,4291,4941,5689,6551,7543,8685,10000,11578,13405,15520,17969,20805,24088
driver-CR1-1000p-col_pckts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.0,0.2,0.3,0.8,0.4,1.0,2.7,6.8,12.3,32.1,93.3,212.9,469.3,923.1,1548.0,2182.9,2722.4,3205.6,3613.9,3868.6,4035.4,4253.4,4542.8,4864.3,4979.4,4996.2,4999.5,5000.0
driver-CR1-1000p-dec_bytes-base,580.0,638.0,754.0,870.0,986.0,1160.0,1334.0,1508.0,1740.0,2030.0,2320.0,2726.0,3132.0,3596.0,4118.0,4756.0,5510.0,6322.0,7308.0,8410.0,9686.0,11194.0,12864.4,14790.0,17028.8,19662.0,22596.8,26030.4,29951.2,34556.4,39753.2,45791.0,52745.2,60679.6,69803.0,80190.8,91442.8,104481.2,116817.8,127188.2,132344.4,118708.6,92028.6,64333.6,41383.0,26488.6,17713.2,12359.8,7563.2,3996.2,1914.0,783.0,214.6,34.8,0.0,0.0
driver-CR1-1000p-dec_pckts-base,10.0,11.0,13.0,15.0,17.0,20.0,23.0,26.0,30.0,35.0,40.0,47.0,54.0,62.0,71.0,82.0,95.0,109.0,126.0,145.0,167.0,193.0,221.8,255.0,293.6,339.0,389.6,448.8,516.4,595.8,685.4,789.5,909.4,1046.2,1203.5,1382.6,1576.6,1801.4,2014.1,2192.9,2281.8,2046.7,1586.7,1109.2,713.5,456.7,305.4,213.1,130.4,68.9,33.0,13.5,3.7,0.6,0.0,0.0
driver-CR1-1000p-col_pckts-base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.4,0.2,0.6,0.2,0.6,0.5,0.6,1.8,2.5,6.4,22.4,40.6,105.9,249.1,529.2,951.2,1413.3,1890.8,2286.5,2543.3,2694.6,2786.9,2869.6,2931.1,2967.0,2986.5,2996.3,2999.4,3000.0,3000.0
lemgreen-CR1-100p-dec_bytes,580.0,638.0,754.0,870.0,986.0,1160.0,1334.0,1508.0,1740.0,2030.0,2320.0,2726.0,3120.4,3596.0,4118.0,4756.0,5486.8,6322.0,7296.4,8410.0,9662.8,11170.8,12841.2,14766.8,16994.0,19546.0,22562.0,25879.6,29765.6,34260.6,38181.4,39921.4,39480.6,38802.0,37323.0,35890.4,34185.2,32340.8,29638.0,26639.4,23420.4,18925.4,14900.2,11640.6,8937.8,7238.4,5707.2,4535.6,3242.2,2041.6,1032.4,342.2,110.2,40.6,5.8,0.0
lemgreen-CR1-100p-dec_pckts,10.0,11.0,13.0,15.0,17.0,20.0,23.0,26.0,30.0,35.0,40.0,47.0,53.8,62.0,71.0,82.0,94.6,109.0,125.8,145.0,166.6,192.6,221.4,254.6,293.0,337.0,389.0,446.2,513.2,590.7,658.3,688.3,680.7,669.0,643.5,618.8,589.4,557.6,511.0,459.3,403.8,326.3,256.9,200.7,154.1,124.8,98.4,78.2,55.9,35.2,17.8,5.9,1.9,0.7,0.1,0.0
lemgreen-CR1-100p-col_pckts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.4,0.4,0.6,0.4,1.0,2.0,1.0,2.8,3.8,4.4,5.7,5.2,6.9,5.7,12.4,11.4,13.5,15.8,29.9,52.0,84.7,140.7,195.9,250.9,305.2,342.7,375.3,398.3,424.9,454.0,480.3,493.9,498.3,499.3,499.9,500.0
lemgreen-CR1-100p-dec_bytes-base,580.0,638.0,754.0,870.0,986.0,1160.0,1334.0,1496.4,1740.0,2030.0,2320.0,2726.0,3132.0,3596.0,4106.4,4744.4,5510.0,6322.0,7308.0,8398.4,9662.8,11182.4,12864.4,14737.8,16095.0,16907.0,17318.8,17347.8,17260.8,17272.4,17318.8,17208.6,17260.8,17214.4,17150.6,17017.2,17017.2,16744.6,16048.6,15068.4,13270.4,11054.8,8439.0,6565.6,5469.4,4727.0,4239.8,3224.8,2215.6,1264.4,603.2,191.4,52.2,11.6,0.0,0.0
lemgreen-CR1-100p-dec_pckts-base,10.0,11.0,13.0,15.0,17.0,20.0,23.0,25.8,30.0,35.0,40.0,47.0,54.0,62.0,70.8,81.8,95.0,109.0,126.0,144.8,166.6,192.8,221.8,254.1,277.5,291.5,298.6,299.1,297.6,297.8,298.6,296.7,297.6,296.8,295.7,293.4,293.4,288.7,276.7,259.8,228.8,190.6,145.5,113.2,94.3,81.5,73.1,55.6,38.2,21.8,10.4,3.3,0.9,0.2,0.0,0.0
lemgreen-CR1-100p-col_pckts-base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.4,0.2,0.2,0.6,1.0,0.9,1.1,0.9,2.4,2.2,1.4,3.3,2.4,3.2,4.3,6.6,6.6,11.3,23.3,40.2,71.2,109.4,154.5,186.8,205.7,218.5,226.9,244.4,261.8,278.2,289.6,296.7,299.1,299.8,300.0,300.0
lemgreen-CR1-1000p-dec_bytes,580.0,638.0,754.0,870.0,986.0,1160.0,1334.0,1508.0,1728.4,2030.0,2320.0,2726.0,3132.0,3596.0,4118.0,4756.0,5510.0,6298.8,7308.0,8410.0,9662.8,11147.6,12876.0,14720.4,17005.6,19604.0,22573.6,25879.6,29835.2,34359.2,39532.8,45367.6,52118.8,60146.0,68712.6,79274.4,90723.6,103396.6,116023.2,124804.4,129850.4,123325.4,102735.4,73776.0,54357.6,39329.8,24029.4,15544.0,11240.4,6913.6,3764.2,1281.8,319.0,34.8,0.0,0.0
lemgreen-CR1-1000p-dec_pckts,10.0,11.0,13.0,15.0,17.0,20.0,23.0,26.0,29.8,35.0,40.0,47.0,54.0,62.0,71.0,82.0,95.0,108.6,126.0,145.0,166.6,192.2,222.0,253.8,293.2,338.0,389.2,446.2,514.4,592.4,681.6,782.2,898.6,1037.0,1184.7,1366.8,1564.2,1782.7,2000.4,2151.8,2238.8,2126.3,1771.3,1272.0,937.2,678.1,414.3,268.0,193.8,119.2,64.9,22.1,5.5,0.6,0.0,0.0
lemgreen-CR1-1000p-col_pckts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.8,0.0,1.2,0.8,1.0,0.8,2.8,2.6,3.6,4.4,7.8,11.4,11.0,21.3,22.2,34.8,59.3,119.6,290.2,572.2,1110.7,1827.1,2457.2,2968.7,3435.8,3780.2,3966.0,4147.1,4382.5,4672.4,4933.6,4990.9,4999.3,5000.0,5000.
lemgreen-CR1-1000p-dec_bytes-base,580.0,638.0,754.0,870.0,986.0,1160.0,1322.4,1508.0,1740.0,2030.0,2320.0,2726.0,3132.0,3584.4,4118.0,4756.0,5510.0,6298.8,7296.4,8410.0,9674.4,11182.4,12818.0,14755.2,17005.6,19615.6,22504.0,25868.0,29858.4,34283.8,39498.0,45489.4,52310.2,60001.0,68985.2,79204.8,90752.6,103158.8,114915.4,122281.4,124966.8,107648.0,79048.2,50257.0,30995.2,20387.0,14349.2,9633.8,5486.8,3114.6,1409.4,435.0,75.4,5.8,0.0,0.0
lemgreen-CR1-1000p-dec_pckts-base,10.0,11.0,13.0,15.0,17.0,20.0,22.8,26.0,30.0,35.0,40.0,47.0,54.0,61.8,71.0,82.0,95.0,108.6,125.8,145.0,166.8,192.8,221.0,254.4,293.2,338.2,388.0,446.0,514.8,591.1,681.0,784.3,901.9,1034.5,1189.4,1365.6,1564.7,1778.6,1981.3,2108.3,2154.6,1856.0,1362.9,866.5,534.4,351.5,247.4,166.1,94.6,53.7,24.3,7.5,1.3,0.1,0.0,0.0
lemgreen-CR1-1000p-col_pckts-base,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.2,1.0,0.6,0.8,0.8,2.0,3.0,2.2,4.9,5.0,5.7,8.1,13.5,16.6,23.4,34.3,63.4,138.7,333.7,656.4,1142.0,1637.1,2133.5,2465.6,2648.5,2752.6,2833.9,2905.4,2946.3,2975.7,2992.5,2998.7,2999.9,3000.0,3000.0
